TaxonId,Organismgrupp,Svenska,Latin,R20,ÅGP,Tu,Si,N2,AD,FD,ASF,0.5,PFS,Ca,SV,Sk,Information
1725,Kärlväxter,spädnarv,Arenaria leptoclados,Akut hotad CR,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D
1730,Alger,fjällrufse,Tolypella canadensis,Nära hotad NT,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D2
1734,Kärlväxter,sydmaskros,Taraxacum austrinum,Starkt hotad EN,,,,,,,8§,,,,0-0,,"Rödlistekriterium 2020: D

Sydmaskros (Taraxacum austrinum) är fridlyst enligt 8 § i hela landet."
1750,Kärlväxter,västgötamaskros,Taraxacum vestrogothicum,Akut hotad CR,,,,,,,,,,,0-0,,Rödlistekriterium 2020: C2a(i); D
1752,Kärlväxter,svarttandad maskros,Taraxacum duplidentifrons,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: C2a(i)
1753,Kärlväxter,smalfjällig strandmaskros,Taraxacum egregium,Nära hotad NT,,,,,,,,,,,P-P,,"Rödlistekriterium 2020: B2ab(ii,iii,iv,v)

Signalvärde: Påtagligt

En mycket kalkkrävande och hävdgynnad art. Den växer i kalkfuktängar, strandängar och vid vätar, platser som i regel är artrika och viktiga för många andra arter."
1754,Kärlväxter,bredskaftad fläckmaskros,Taraxacum euryphyllum,Starkt hotad EN,,,,,,,,,,,0-0,,Rödlistekriterium 2020: C2a(i)
1757,Kärlväxter,liten kärrmaskros,Taraxacum litorale,Nära hotad NT,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B2ab(ii,iii,iv,v); C2a(i)"
1758,Kärlväxter,fläckmaskros,Taraxacum maculigerum,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: C2a(i)
1760,Kärlväxter,kvällsmaskros,Taraxacum praestans,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: C2a(i)
1762,Mossor,alvargrimmia,Grimmia tergestina,Sårbar VU,,,,x,,,,,,,0-0,,"Rödlistekriterium 2020: B2ab(ii,iii,v); D1

Basiska berghällar (6110)"
1765,Lavar,gyttrad kalkspricklav,Acarospora cervina,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D1
1766,Lavar,slät fjällav,Agonimia allobata,Nära hotad NT,,,,,,,,,,,0-0,,Rödlistekriterium 2020: A2bc+3bc+4bc
1767,Lavar,öländsk pricklav,Arthonia anombrophila,Akut hotad CR,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B1ab(i,ii,iii,iv,v); D"
1768,Lavar,dalmatinerfläck,Arthonia arthonioides,Starkt hotad EN,,,,,,,,,,,MH-MH,,"Rödlistekriterium 2020: D

Signalvärde: Mycket högt

Växer i skuggiga lägen med hög och jämn luftfuktighet på gamla ekar och lindar i ädellövskogar, ibland blandskogar och ofta tillsammans med andra rödlistade arter. "
1769,Lavar,frostfläck,Reichlingia zwackhii,Akut hotad CR,,,,,,,,,,,MH-MH,,"Rödlistekriterium 2020: A3bc

Signalvärde: Mycket högt"
1770,Lavar,storsporig päronlav,Mycoporum antecellens,Akut hotad CR,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D
1776,Lavar,amerikansk sönderfallslav,Bactrospora brodoi,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D1
1778,Lavar,fjällig knopplav,Biatora fallax,Sårbar VU,,,,,,,,,,,MH-MH,,"Rödlistekriterium 2020: A2bc+4bc

Signalvärde: Mycket högt

Endast känd från lokaler med mycket höga naturvärden. Växer på gamla och oftast riktigt grova granar. Indikerar jämn och hög luftfuktighet. "
1784,Lavar,jordskivlav,Buellia epigaea,Akut hotad CR,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D
1786,Lavar,trådöga,Byssoloma marginatum,Akut hotad CR,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D
1788,Lavar,vedorangelav,Blastenia furfuracea,Starkt hotad EN,x,,,,,,,,,,0-0,,Rödlistekriterium 2020: A2bc+3bc+4bc
1789,Lavar,almorangelav,Cerothallia luteoalba,Akut hotad CR,,,,,,,,,,,0-0,,Rödlistekriterium 2020: A3bc
1793,Lavar,snabelsporlav,Celothelium ischnobelum,Akut hotad CR,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D
1794,Lavar,rödskaftad svartspik,Chaenothecopsis haematopus,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D1
1797,Lavar,mjölig dropplav,Cliostomum leprosum,Nära hotad NT,,,,,,,,,,,0-0,,Rödlistekriterium 2020: A2bc+3bc+4bc
1799,Lavar,kransgelélav,Enchylium bachmanianum,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D1
1800,Lavar,lergelélav,Enchylium limosum,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: A3bc+4bc; D1
