Organismgrupp,Svenska,Latin,R20,ÅGP,Tu,Si,N2,AD,FD,ASF,_50%,PFS,Ca,Sk,Information
Alger,Axsträfse,Lamprothamnium papulosum,Starkt hotad EN,x,,,,,,,,,,,"Rödlistekriterium 2020: B1b(i,ii,iii,iv,v)c(iv)+2b(i,ii,iii,iv,v)c(iv)"
Alger,Balbiania,Balbiania investiens,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Barklöst sträfse,Chara braunii,Nära hotad NT,x,,,,,,,,,,,"Rödlistekriterium 2020: B2ab(ii,iii,iv,v)"
Alger,Bauersträfse,Chara baueri,Nationellt utdöd RE,,,,,,,,,,,,
Alger,Bergborsting,Cladophora rupestris,,,,,x,,,,,,,,"Stora vikar och sund (1160)

Rev (1170)"
Alger,Blodkula,Rivularia haematites,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Blygpyssling,Acrochaetium immersum,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Blåstång,Fucus vesiculosus,,,,,x,,,,,,,,"Stora vikar och sund (1160)

Rev (1170)

Laguner (1150)"
Alger,Blåtonat rödblad,Phyllophora pseudoceranoïdes,,,,,x,,,,,,,,"Rev (1170)

Stora vikar och sund (1160)"
Alger,Borststräfse,Chara aspera,,,,,x,,,,,,,,"Laguner (1150)

Stora vikar och sund (1160)

Rullstensåsöar i Östersjön (1610)

Smala Östersjövikar (1650)

Kransalgsjöar (3140)

Sublittorala sandbankar (1110)"
Alger,Bred snörptråd,Rosenvingiellopsis constricta,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Brungelé,Nostoc linckia,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Brunhorn,Microcoryne ocellata,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Brunplätt,Symphyocarpus strangulans,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Druvgryn,Botrytella reinboldii,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Dvärgslinke,Nitella confervacea,Nära hotad NT,,,,,,,,,,,,"Rödlistekriterium 2020: B2ab(i,ii,iii,iv,v)"
Alger,Ektång,Halidrys siliquosa,,,,,x,,,,,,,,Rev (1170)
Alger,Finger-tare,Laminaria digitata,,,,,x,,,,,,,,Rev (1170)
Alger,Fingrenig tarmalg,Ulva procera,,,,,x,,,,,,,,Rev (1170)
Alger,Fiskbensalg,Sphaerococcus coronopifolius,Nära hotad NT,,,,,,,,,,,,Rödlistekriterium 2020: B1a
Alger,Fjäderdun,Ptilothamnion pluma,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Fjäderklubba,Tilopteris mertensii,Sårbar VU,,,,,,,,,,,,Rödlistekriterium 2020: B1ac(iv)
Alger,Fjäderslick,Polysiphonia fucoides,,,,,x,,,,,,,,Rev (1170)
Alger,Fjällprasiola,Prasiola fluviatilis,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Fjällrufse,Tolypella canadensis,Nära hotad NT,,,,,,,,,,,,Rödlistekriterium 2020: D2
Alger,Gaffelkrasing,Jania rubens,Nära hotad NT,,,,,,,,,,,,Rödlistekriterium 2020: D2
Alger,Gaffelkrasingkula,Choreonema thuretii,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Geléskorpa,Chroothece rupestris,Sårbar VU,,,,,,,,,,,,Rödlistekriterium 2020: D2
Alger,Gleoplax,Gloeoplax weberi,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Gles tusengrening,Myriocladia lovenii,,,,,,,,,,,,,
Alger,Grenhuding,Protoderma frequens,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Grenig kalkskorpa,Phymatolithon calcareum,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Grenlänkad skorpalg,Lithothamnion fornicatum,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Grovslinke,Nitella translucens,Sårbar VU,x,,,,,,,,,,,"Rödlistekriterium 2020: B1ab(ii,iii,iv)+2ab(ii,iii,iv)"
Alger,Gråsträfse,Chara contraria,,,,,x,,,,,,,,Kransalgsjöar (3140)
Alger,Grönslick,Cladophora glomerata,,,,,x,,,,,,,,Rev (1170)
Alger,Grönsträfse,Chara baltica,,,,,x,,,,,,,,"Laguner (1150)

Sublittorala sandbankar (1110)"
Alger,Gröntonig pärlbandsalg,Virescentia vogesiaca,Sårbar VU,,,,,,,,,,,,"Rödlistekriterium 2020: B2ab(i,ii,iii,iv,v)"
Alger,Gytterkula,Rivularia beccariana,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Havsrufse,Tolypella nidifica,,,,,x,,,,,,,,Sublittorala sandbankar (1110)
Alger,Hårdkula,Rivularia dura,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Hårsträfse,Chara canescens,,,,,x,,,,,,,,"Laguner (1150)

Stora vikar och sund (1160)

Smala Östersjövikar (1650)

Sublittorala sandbankar (1110)"
Alger,Höstslinke,Nitella syncarpa,Starkt hotad EN,,,,,,,,,,,,"Rödlistekriterium 2020: B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)"
Alger,Ishavstofs,Battersia arctica,,,,,x,,,,,,,,"Rev (1170)

Stora vikar och sund (1160)"
Alger,Jordhår,Nostoc flagelliforme,Sårbar VU,,,,,,,,,,,,Rödlistekriterium 2020: D2
Alger,Jordplätt,Nostoc humifusum,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Kalkgelé,Nostoc calcicola,Sårbar VU,,,,,,,,,,,,Rödlistekriterium 2020: D2
Alger,Kedjepyssling,Acrochaetium catenulatum,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Kilrödblad,Coccotylus truncatus,,,,,x,,,,,,,,"Rev (1170)

Stora vikar och sund (1160)"
Alger,Klotsporig pärlbandsalg,Kumanoa globospora,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Klynnebändel,Dictyota dichotoma,Sårbar VU,,,,,,,,,,,,Rödlistekriterium 2020: B1ac(iv)
Alger,Knöltång,Ascophyllum nodosum,,,,,x,,,,,,,,Rev (1170)
Alger,Korallpricktråd,Stigonema mesentericum,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Kornmannia,Kornmannia leptoderma,,,,,,,,,,,,,
Alger,Korsvattensten,Hydrolithon cruciatum,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Krulltrassel,Stictyosiphon tortilis,,,,,x,,,,,,,,Rev (1170)
Alger,Krustkudde,Pulvinularia suecica,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Krypbulbing,Aphanochaete vermiculoides,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Kryppyssling,Audouinella serpens,Sårbar VU,,,,,,,,,,,,Rödlistekriterium 2020: D2
Alger,Kräkel,Furcellaria lumbricalis,,,,,x,,,,,,,,"Rev (1170)

Stora vikar och sund (1160)"
Alger,Kuddtofsing,Myriactula haydenii,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Kulrandslick,Feldmannia globifera,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Kyliniella,Kyliniella latvica,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Köttgelé,Nostoc carneum,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Långgrening,Acrothrix gracilis,Sårbar VU,,,,,,,,,,,,"Rödlistekriterium 2020: B1ab(i,ii,iii,iv,v)c(ii,iii,iv)"
Alger,Mellansträfse,Chara intermedia,,,,,x,,,,,,,,Kransalgsjöar (3140)
Alger,Molnslick,Ectocarpus siliculosus,,,,,x,,,,,,,,Rev (1170)
Alger,Nordsloke,Wildemania miniata,,,,,,,,,,,,,
Alger,Näcköra,Nostoc parmelioides,Nära hotad NT,,,,,,,,,,,,"Rödlistekriterium 2020: B2b(i,ii,iii,iv,v)"
Alger,Pilörtsplätt,Desmosiphon maculans,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Piskgelé,Chaetophora flagellifera,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Prickgelé,Chaetophora punctiformis,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Pälshår,Arthrocladia villosa,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Pärlslinke,Nitella tenuissima,Nationellt utdöd RE,,,,,,,,,,,,
Alger,Raggsträfse,Chara horrida,Nära hotad NT,x,,,,,,,,,,,"Rödlistekriterium 2020: B2ab(ii,iii,iv,v)"
Alger,Rödstrumpeludd,Ulonema rhizophorum,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Rödsträfse,Chara tomentosa,,,,,x,,,,,,,,"Laguner (1150)

Stora vikar och sund (1160)

Smala Östersjövikar (1650)

Kransalgsjöar (3140)

Sublittorala sandbankar (1110)"
Alger,Sipperalg,Rhodospora sordida,Sårbar VU,,,,,,,,,,,,Rödlistekriterium 2020: D2
Alger,Sjöhjortron,Nostoc zetterstedtii,Nära hotad NT,,,,,,,8§,,,,,"Rödlistekriterium 2020: B2b(ii,iii,iv,v)

Sjöhjortron (Nostoc zetterstedtii) är fridlyst enligt 8 § vid holmen Sihaansaari utanför Kääntölahti i sjön Vettasjärvi i Gällivare kommun i Norrbottens län samt på nordsidan av den mycket långa och smala sandudden i norra delen av sjön Vettasjärvi i Gällivare kommun i Norrbottens län."
Alger,Skalgrus-slemtråd,Scinaia furcellata,Sårbar VU,,,,,,,,,,,,Rödlistekriterium 2020: B1ac(iv)
Alger,Skaltusentråding,Myrionema seriatum,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Skimrande nervblad,Cryptopleura ramosa,Nära hotad NT,,,,,,,,,,,,Rödlistekriterium 2020: B1ac(iv)
Alger,Skräppe-tare,Saccharina latissima,,,,,x,,,,,,,,Rev (1170)
Alger,Skäggsträfse,Chara strigosa,Nära hotad NT,,,,x,,,,,,,,"Rödlistekriterium 2020: B2b(ii,iii,iv,v)

Kransalgsjöar (3140)"
Alger,Skärgårdsplätt,Nostoc minutum,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Slemsnärjepyssling,Acrochaetium dumontiae,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Slokepyssling,Acrochaetium cytophagum,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Smalskägg,Dictyosiphon foeniculaceus,,,,,x,,,,,,,,Rev (1170)
Alger,Småsnöre,Delamarea attenuata,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Spetsig vattenpensel,Draparnaldia acuta,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Spetsnervblad,Hypoglossum hypoglossoides,Sårbar VU,,,,,,,,,,,,Rödlistekriterium 2020: B1ac(iv)
Alger,Spetsslick,Cladophora vadorum,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Spretsträfse,Chara rudis,Sårbar VU,x,,,,,,,,,,,"Rödlistekriterium 2020: B2ab(ii,iii,iv,v)"
Alger,Spädslinke,Nitella gracilis,Nära hotad NT,,,,,,,,,,,,"Rödlistekriterium 2020: B2b(ii,iii,iv,v)"
Alger,Stenvårta,Nostoc verrucosum,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Stjärnslinke,Nitellopsis obtusa,Sårbar VU,x,,,x,,,,,,,,"Rödlistekriterium 2020: B2ab(ii,iii,v)

Kransalgsjöar (3140)"
Alger,Stor-tare,Laminaria hyperborea,,,,,x,,,,,,,,Rev (1170)
Alger,Stubbsträfse,Chara curta,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Sudare,Chorda filum,,,,,x,,,,,,,,Rev (1170)
Alger,Svartskinna,Vaucheria dichotoma,,,,,x,,,,,,,,Laguner (1150)
Alger,Svartslick,Vertebrata nigra,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Sydlig pärlbandsalg,Kumanoa virgato-decaisneana,Nationellt utdöd RE,,,,,,,,,,,,
Alger,Sågtång,Fucus serratus,,,,,x,,,,,,,,"Rev (1170)

Stora vikar och sund (1160)"
Alger,Taggsträfse,Chara hispida,,,,,x,,,,,,,,Kransalgsjöar (3140)
Alger,Taggtofs,Halopteris scoparia,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Tarmalg,Ulva intestinalis,,,,,x,,,,,,,,Rev (1170)
Alger,Tjockväggig stjärntarmalg,Blidingia chadefaudii,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Trubbrufse,Tolypella glomerata,Sårbar VU,,,,,,,,,,,,"Rödlistekriterium 2020: B1ac(ii,iii,iv)+2ac(ii,iii,iv); D2"
Alger,Trådslick,Pylaiella littoralis,,,,,x,,,,,,,,Rev (1170)
Alger,Trådsträfse,Chara filiformis,Akut hotad CR,x,,,,,,,,,,,"Rödlistekriterium 2020: B1ab(ii,iii,v)+2ab(ii,iii,v)"
Alger,Tsengia,Tsengia bairdii,Nära hotad NT,,,,,,,,,,,,Rödlistekriterium 2020: B1ac(iv)
Alger,Tuvsträfse,Chara connivens,Nära hotad NT,x,,,,,,,,,,,Rödlistekriterium 2020: B1a
Alger,Törnsträfse,Chara polyacantha,,,,,x,,,,,,,,Kransalgsjöar (3140)
Alger,Uddrufse,Tolypella intricata,Sårbar VU,,,,,,,,,,,,"Rödlistekriterium 2020: B1ac(ii,iii,iv)+2ac(ii,iii,iv); D2"
Alger,Uddslinke,Nitella mucronata,Nära hotad NT,x,,,,,,,,,,,"Rödlistekriterium 2020: B2b(ii,iii,iv,v)"
Alger,Ullig ledalg,Halurus flosculosus,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Ullsläke,Ceramium tenuicorne,,,,,x,,,,,,,,Rev (1170)
Alger,Vinkelslemtråd,Helminthora divaricata,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Vårslinke,Nitella capillaris,Starkt hotad EN,,,,,,,,,,,,"Rödlistekriterium 2020: B1ac(iii,iv)+2ac(iii,iv)"
Alger,Vårttrasselpyssling,Acrochaetium stilophorae,Kunskapsbrist DD,,,,,,,,,,,,
Alger,Vårttrasseltråd,Microspongium stilophorae,Kunskapsbrist DD,,,,,,,,,,,,
Armfotingar,Argyrotheca cistellula,Argyrotheca cistellula,Kunskapsbrist DD,,,,,,,,,,,,
Armfotingar,Macandrevia cranium,Macandrevia cranium,Akut hotad CR,,,,,,,,,,,,Rödlistekriterium 2020: B1ab(iii)
Blötdjur,Acanthocardia echinata,Acanthocardia echinata,,,,,x,,,,,,,,Sublittorala sandbankar (1110)
Blötdjur,Acanthochitona crinita,Acanthochitona crinita,Nära hotad NT,,,,,,,,,,,,Rödlistekriterium 2020: D2
Blötdjur,Admete viridula,Admete viridula,Starkt hotad EN,,,,,,,,,,,,Rödlistekriterium 2020: B1ab(iii)+2ab(iii)
Blötdjur,Alvania beanii,Alvania beanii,Kunskapsbrist DD,,,,,,,,,,,,
Blötdjur,Alvania cimicoides,Alvania cimicoides,Kunskapsbrist DD,,,,,,,,,,,,
Blötdjur,Alvania jeffreysi,Alvania jeffreysi,Kunskapsbrist DD,,,,,,,,,,,,
Blötdjur,Alvania punctura,Alvania punctura,Kunskapsbrist DD,,,,,,,,,,,,
Blötdjur,Alvania subsoluta,Alvania subsoluta,Kunskapsbrist DD,,,,,,,,,,,,
Blötdjur,Alvania testae,Alvania testae,Sårbar VU,,,,,,,,,,,,"Rödlistekriterium 2020: B1ab(i,iii)"
Blötdjur,Amauropsis islandica,Amauropsis islandica,Sårbar VU,,,,,,,,,,,,Rödlistekriterium 2020: B1ab(iii)
Blötdjur,Anatoma crispata,Anatoma crispata,Kunskapsbrist DD,,,,,,,,,,,,
Blötdjur,Antalis occidentalis,Antalis occidentalis,Kunskapsbrist DD,,,,,,,,,,,,
Blötdjur,Aporrhais serresianus,Aporrhais serresianus,Kunskapsbrist DD,,,,,,,,,,,,
Blötdjur,Arca tetragona,Arca tetragona,Kunskapsbrist DD,,,,,,,,,,,,
Blötdjur,Arcopagia crassa,Arcopagia crassa,Sårbar VU,,,,,,,,,,,,Rödlistekriterium 2020: D2
Blötdjur,Asbjornsenia pygmaea,Asbjornsenia pygmaea,,,,,,,,,,,,,
Blötdjur,Asperarca nodulosa,Asperarca nodulosa,Sårbar VU,,,,,,,,,,,,Rödlistekriterium 2020: D2
Blötdjur,Atomsnäcka,Omalogyra atomus,Kunskapsbrist DD,,,,,,,,,,,,
Blötdjur,Bathyarca pectunculoides,Bathyarca pectunculoides,Sårbar VU,,,,,,,,,,,,Rödlistekriterium 2020: D2
Blötdjur,Blank glanssnäcka,Morlina glabra,Sårbar VU,,,,,,,,,,,,"Rödlistekriterium 2020: B1ab(iii,iv,v)+2ab(iii,iv,v)"
Blötdjur,Blek lagunsnäcka,Lacuna pallidula,Kunskapsbrist DD,,,,,,,,,,,,
Blötdjur,Blektoppad borstnuding,Fjordia chriskaugei,Sårbar VU,,,,,,,,,,,,Rödlistekriterium 2020: D2
Blötdjur,Bläckfiskssnäcka,Pneumodermopsis paucidens,Kunskapsbrist DD,,,,,,,,,,,,
Blötdjur,Blågul kamnuding,Trinchesia cuanensis,Sårbar VU,,,,,,,,,,,,Rödlistekriterium 2020: D1+2
Blötdjur,Blåmussla,Mytilus edulis,,,,,x,,,,,,,,"Rev (1170)

Stora vikar och sund (1160)"
Blötdjur,Boreotrophon clavatus,Boreotrophon clavatus,Sårbar VU,,,,,,,,,,,,Rödlistekriterium 2020: D2
Blötdjur,Brachystomia eulimoides,Brachystomia eulimoides,Sårbar VU,,,,,,,,,,,,Rödlistekriterium 2020: D2
Blötdjur,Bredbandsnuding,Gulenia monicae,Sårbar VU,,,,,,,,,,,,Rödlistekriterium 2020: D2
Blötdjur,Bredfotad trädnuding,Dendronotus velifer,Nationellt utdöd RE,,,,,,,,,,,,
Blötdjur,Bredhuvad kamnuding,Bohuslania matsmichaeli,Sårbar VU,,,,,,,,,,,,Rödlistekriterium 2020: D2
Blötdjur,Brokblomsternuding,Okenia aspersa,Starkt hotad EN,,,,,,,,,,,,Rödlistekriterium 2020: D
Blötdjur,Brokig kamnuding,Trinchesia caerulea,Sårbar VU,,,,,,,,,,,,Rödlistekriterium 2020: D1+2
Blötdjur,Brunfläckig sköldnuding,Knoutsodonta sparsa,Kunskapsbrist DD,,,,,,,,,,,,
Blötdjur,Buccinum humphreysianum,Buccinum humphreysianum,Sårbar VU,,,,,,,,,,,,Rödlistekriterium 2020: D2
Blötdjur,Bukig tusensnäcka,Ecrobia ventrosa,,,,,x,,,,,,,,Blottade ler- och sandbottnar (1140)
Blötdjur,Bukspolsnäcka,Macrogastra ventricosa,Sårbar VU,,,,,,,,,,,,Rödlistekriterium 2020: B2ab(iii)
Blötdjur,Busksnäcka,Fruticicola fruticum,,,,,,,,,,,x,,"Förekommer i träd- och buskbärande ängs- och betesmarker, gärna med rösen och murar. Lokalt vanliga i östra Sverige, sällsynta i väster"
Blötdjur,Cadulus subfusiformis,Cadulus subfusiformis,Kunskapsbrist DD,,,,,,,,,,,,
Blötdjur,Caecum glabrum,Caecum glabrum,Kunskapsbrist DD,,,,,,,,,,,,
Blötdjur,Callochiton septemvalvis,Callochiton septemvalvis,Nära hotad NT,,,,,,,,,,,,Rödlistekriterium 2020: B1a+2a
Blötdjur,Cardiomya costellata,Cardiomya costellata,Kunskapsbrist DD,,,,,,,,,,,,
Blötdjur,Cerastoderma edule,Cerastoderma edule,,,,,x,,,,,,,,Blottade ler- och sandbottnar (1140)
Blötdjur,Cerastoderma glaucum,Cerastoderma glaucum,,,,,x,,,,,,,,Estuarier (1130)
Blötdjur,Cerithiella metula,Cerithiella metula,Sårbar VU,,,,,,,,,,,,Rödlistekriterium 2020: B2ab(iii)
Blötdjur,Cerithiopsis tubercularis,Cerithiopsis tubercularis,Kunskapsbrist DD,,,,,,,,,,,,
Blötdjur,Colus islandicus,Colus islandicus,Kunskapsbrist DD,,,,,,,,,,,,
Blötdjur,Cryptonatica affinis,Cryptonatica affinis,Kunskapsbrist DD,,,,,,,,,,,,
Blötdjur,Curveulima macrophthalmica,Curveulima macrophthalmica,Kunskapsbrist DD,,,,,,,,,,,,
Blötdjur,Cuspidaria lamellosa,Cuspidaria lamellosa,,,,,,,,,,,,,
Blötdjur,Cuspidaria rostrata,Cuspidaria rostrata,Sårbar VU,,,,,,,,,,,,Rödlistekriterium 2020: D2
Blötdjur,Delectopecten vitreus,Delectopecten vitreus,Sårbar VU,,,,,,,,,,,,"Rödlistekriterium 2020: B1ab(i,ii,iii)+2ab(i,ii,iii); D2"
Blötdjur,Devonia perrieri,Devonia perrieri,Kunskapsbrist DD,,,,,,,,,,,,
Blötdjur,Dikoleps nitens,Dikoleps nitens,Kunskapsbrist DD,,,,,,,,,,,,
Blötdjur,Dubbelvinge,Pleurobranchus membranaceus,Sårbar VU,,,,,,,,,,,,Rödlistekriterium 2020: D2
Blötdjur,Dubbelvårting,Crimora papillata,Kunskapsbrist DD,,,,,,,,,,,,
Blötdjur,Dvärgborstnuding,Paracoryphella parva,Akut hotad CR,,,,,,,,,,,,Rödlistekriterium 2020: D
Blötdjur,Dvärgmasksnäcka,Microhedyle glandulifera,Kunskapsbrist DD,,,,,,,,,,,,
Blötdjur,Dvärgärtmussla,Pisidium tenuilineatum,Kunskapsbrist DD,,,,,,,,,,,,
Blötdjur,Eldblomsternuding,Okenia elegans,Kunskapsbrist DD,,,,,,,,,,,,
Blötdjur,Entalina tetragona,Entalina tetragona,Nära hotad NT,,,,,,,,,,,,Rödlistekriterium 2020: D2
Blötdjur,Epilepton clarkiae,Epilepton clarkiae,Kunskapsbrist DD,,,,,,,,,,,,
Blötdjur,Epitonium clathratulum,Epitonium clathratulum,Kunskapsbrist DD,,,,,,,,,,,,
Blötdjur,Eulima bilineata,Eulima bilineata,Kunskapsbrist DD,,,,,,,,,,,,
Blötdjur,Eulimella acicula,Eulimella acicula,Kunskapsbrist DD,,,,,,,,,,,,
Blötdjur,Eulimella scillae,Eulimella scillae,Kunskapsbrist DD,,,,,,,,,,,,
Blötdjur,Eulimella ventricosa,Eulimella ventricosa,Kunskapsbrist DD,,,,,,,,,,,,
Blötdjur,Eumetula arctica,Eumetula arctica,Starkt hotad EN,,,,,,,,,,,,"Rödlistekriterium 2020: B1ab(i,ii,iii,iv,v)"
Blötdjur,Europeiskt ostron,Ostrea edulis,,,,,x,,,,,,,,Stora vikar och sund (1160)
Blötdjur,Euspira pallida,Euspira pallida,Sårbar VU,,,,,,,,,,,,Rödlistekriterium 2020: B2ab(iii)
Blötdjur,Finklyvgrening,Tjaernoeia exquisita,Sårbar VU,,,,,,,,,,,,Rödlistekriterium 2020: B1ab(iii); D2
Blötdjur,Finräfflad venusmussla,Chamelea striatula,,,,,x,,,,,,,,Sublittorala sandbankar (1110)
Blötdjur,Fjällgrynsnäcka,Vertigo arctica,,,,,x,,,,,,,,Högörtängar (6430)
Blötdjur,Flat dammussla,Pseudanodonta complanata,Nära hotad NT,,,,,,,,,,,,"Rödlistekriterium 2020: B2ab(iii,v)"
Blötdjur,Flatsköldnuding,Knoutsodonta depressa,Kunskapsbrist DD,,,,,,,,,,,,
Blötdjur,Flodpärlmussla,Margaritifera margaritifera,Starkt hotad EN,x,,,x,II,,,,,,,"Rödlistekriterium 2020: A2bce

Mindre vattendrag (3260)

Större vattendrag (3210)

Arten är listad i bilaga 2 till art- och habitatdirektivet eftersom den har sådant unionsintresse att särskilda bevarandeområden behöver utses. "
Blötdjur,Fläckhjärtlösing,Alderia modesta,Kunskapsbrist DD,,,,,,,,,,,,
Blötdjur,Förbisedd tusensnäcka,Hydrobia acuta neglecta,,,,,x,,,,,,,,Blottade ler- och sandbottnar (1140)
Blötdjur,Genaxinus eumyarius,Genaxinus eumyarius,Sårbar VU,,,,,,,,,,,,Rödlistekriterium 2020: D2
Blötdjur,Gitterspolsnäcka,Clausilia dubia,Nära hotad NT,,,,,,,,,,,,"Rödlistekriterium 2020: B2ab(iii,v)"
Blötdjur,Glansig riskornssnäcka,Retusa nitidula,Sårbar VU,,,,,,,,,,,,Rödlistekriterium 2020: D2
Blötdjur,Glatt skivsnäcka,Gyraulus laevis,Nära hotad NT,,,,,,,,,,,,Rödlistekriterium 2020: B2a
Blötdjur,Gleshornad skennuding,Calliopaea bellula,Nära hotad NT,,,,,,,,,,,,Rödlistekriterium 2020: D2
Blötdjur,Gotländsk alvarsnäcka,Xerocrassa geyeri,Sårbar VU,,,,x,,,,,,,,"Rödlistekriterium 2020: D2

Uppspruckna kalkstenshällmarker (8240)"
Blötdjur,Granträdnuding,Dendronotus europaeus,Kunskapsbrist DD,,,,,,,,,,,,
Blötdjur,Granulerad toppsnäcka,Clelandella miliaris,Sårbar VU,,,,,,,,,,,,Rödlistekriterium 2020: B1ab(iii)
Blötdjur,Gröngrening,Placida dendritica,Nära hotad NT,,,,,,,,,,,,Rödlistekriterium 2020: D2
Blötdjur,Gul fläcksnäcka,Berthella sideralis,Sårbar VU,,,,,,,,,,,,Rödlistekriterium 2020: D2
Blötdjur,Gulfläckig kamnuding,Xenocratena suecica,Sårbar VU,,,,,,,,,,,,Rödlistekriterium 2020: D2
Blötdjur,Gulfläckig rygghorning,Amphorina farrani,Sårbar VU,,,,,,,,,,,,Rödlistekriterium 2020: D2
Blötdjur,Gulskäggsnuding,Polycera faeroensis,Sårbar VU,,,,,,,,,,,,Rödlistekriterium 2020: D1
Blötdjur,Gultoppad volangnuding,Lomanotus genei,Sårbar VU,,,,,,,,,,,,Rödlistekriterium 2020: D1+2
Blötdjur,Haliella stenostoma,Haliella stenostoma,Kunskapsbrist DD,,,,,,,,,,,,
Blötdjur,Hanleya hanleyi,Hanleya hanleyi,Sårbar VU,,,,,,,,,,,,Rödlistekriterium 2020: B1ab(iii)+2ab(iii); D2
Blötdjur,Hedcylindersnäcka,Truncatellina cylindrica,,,,,,,,,,,x,,Kalkrika alvarmarker. Kontinuitetskrävande
Blötdjur,Hemilepton nitidum,Hemilepton nitidum,Kunskapsbrist DD,,,,,,,,,,,,
Blötdjur,Hydrobia acuta,Hydrobia acuta,Kunskapsbrist DD,,,,,,,,,,,,
Blötdjur,Hällsnäcka,Chondrina arcadica clienta,,,,,x,,,,,,x,,"Uppspruckna kalkstenshällmarker (8240)

Kalkrika alvarmarker. Kontinuitetskrävande"
Blötdjur,Hästmussla,Modiolus modiolus,Sårbar VU,,,,x,,,,,,,,"Rödlistekriterium 2020: A2c

Rev (1170)"
Blötdjur,Högnordisk grynsnäcka,Vertigo ultimathule,Kunskapsbrist DD,,,,,,,,,,,,
Blötdjur,Kaffeböna,Trivia arctica,,,,,,,,,,,,,
Blötdjur,Kalkkärrsgrynsnäcka,Vertigo geyeri,Nära hotad NT,x,,,,II,,,,,,,"Rödlistekriterium 2020: B2ab(iii)

Arten har enligt art- och habitatdirektivet ett sådant unionsintresse att särskilda bevarandeområden behöver utses. Arten finns
upptagen i bilaga 2 till art- och habitatdirektivet."
Blötdjur,Kalstjärtsnuding,Borealea nobilis,Sårbar VU,,,,,,,,,,,,Rödlistekriterium 2020: D2
Blötdjur,Karnekampia sulcata,Karnekampia sulcata,Sårbar VU,,,,,,,,,,,,Rödlistekriterium 2020: D2
Blötdjur,Kellia suborbicularis,Kellia suborbicularis,Kunskapsbrist DD,,,,,,,,,,,,
Blötdjur,Klothyalinsnäcka,Diaphana globosa,Sårbar VU,,,,,,,,,,,,Rödlistekriterium 2020: D2
Blötdjur,Knivmussla,Ensis ensis,,,,,,,,,,,,,
Blötdjur,Knottrig gurknuding,Palio dubia,Kunskapsbrist DD,,,,,,,,,,,,
Blötdjur,Knölläppad spolsnäcka,Laciniaria plicata,Nära hotad NT,,,,,,,,,,,,Rödlistekriterium 2020: B2a
Blötdjur,Korsrygghorning,Capellinia fustifera,Sårbar VU,,,,,,,,,,,,Rödlistekriterium 2020: D2
Blötdjur,Kulkransad kottnuding,Doto crassicornis,Nationellt utdöd RE,,,,,,,,,,,,
Blötdjur,Kägelrygghorning,Eubranchus vittatus,Sårbar VU,,,,,,,,,,,,Rödlistekriterium 2020: D2
